run_dir,calibration_tau,model,threshold_mode,jitter,realized_nn_median,target_poison_ratio,n_seeds,damage,delta_fpr_mean,delta_fpr_std,delta_tpr_mean,delta_tpr_std,sigma_control,clears_2sigma
cicids,0.0,rf,fixed,0.01,0.014381144035069316,0.2,5,0.042499999999999996,0.042499999999999996,0.0054961634346150975,0.049639296425387044,0.008539421449835988,0.014823297644627679,True
cicids,0.0,rf,fixed,0.02,0.02234033452151998,0.2,5,0.045219999999999996,0.045219999999999996,0.012512149095978677,0.038631758125962555,0.011792133567945156,0.014823297644627679,True
cicids,0.0,rf,fixed,0.03,0.031145766227097804,0.2,5,0.035945000000000005,0.035945000000000005,0.0179274963394223,0.046510496879306175,0.010772256528476583,0.014823297644627679,True
cicids,0.0,rf,fixed,0.05,0.048520121340943884,0.2,5,0.042855,0.042855,0.014169414684453272,0.05028775228985975,0.012440147689861795,0.014823297644627679,True
cicids,0.0,rf,fixed,0.07,0.06549662205094067,0.2,5,0.039999999999999994,0.039999999999999994,0.01737180726061627,0.033152306071168015,0.004550033946886966,0.014823297644627679,True
cicids,0.0,rf,fixed,0.1,0.09055539550988481,0.2,5,0.04938,0.04938,0.021291712002561,0.041160735997406175,0.005898643136827337,0.014823297644627679,True
cicids,0.0,rf,fixed,0.2,0.17261844716975427,0.2,5,0.04444,0.04444,0.014593904977763838,0.034741022939126176,0.0154647504657045,0.014823297644627679,True
cicids,0.0,rf,fixed,0.3,0.25405201657983284,0.2,5,0.051644999999999996,0.051644999999999996,0.01710840802061957,0.029634433006403494,0.011136356335218645,0.014823297644627679,True
cicids,0.0,rf,fixed,0.7,0.5591151059912843,0.2,5,0.0539,0.0539,0.007642009716036745,0.01765421091026993,0.04207628094320457,0.014823297644627679,True
cicids,0.0,rf,fixed,1.5,1.0542563956797593,0.2,5,0.037434999999999996,0.037434999999999996,0.015313756070931784,-0.0349031369052444,0.015460076384269593,0.014823297644627679,True
cicids,0.0,rf,fixed,0.0,0.010793520647202747,0.5,5,0.953915,0.953915,0.010956499212796044,0.12343357380238304,0.0028574167383202324,0.014823297644627679,True
cicids,0.0,rf,fixed,0.01,0.014164875736472057,0.5,5,0.05566,0.05566,0.009701475403256972,0.04159844370592527,0.007193870036840903,0.014823297644627679,True
cicids,0.0,rf,fixed,0.03,0.03109014898322242,0.5,5,0.04929,0.04929,0.013150767563150067,0.05006079273729429,0.014935681199866388,0.014823297644627679,True
cicids,0.0,rf,fixed,0.1,0.09030748479091491,0.5,5,0.040315000000000004,0.040315000000000004,0.0216288262510937,0.057826051714355196,0.0065877439203644705,0.014823297644627679,True
cicids,0.0,rf,fixed,0.3,0.25354973425167204,0.5,5,0.049925000000000004,0.049925000000000004,0.008002636284375295,0.06134392477911972,0.023183671681870306,0.014823297644627679,True
cicids,0.0,rf,fixed,1.5,1.05365202140995,0.5,5,0.04217,0.04217,0.008923939012566143,0.01595201426602899,0.026228253698249538,0.014823297644627679,True
cicids,0.0,rf,recalibrated,0.0,0.010602133547744839,0.005,5,-0.028856285969036242,2.4999999999999327e-05,0.00033680483963268755,0.028856285969036242,0.033677737693256285,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.01,0.014301275655447476,0.005,5,-0.02580854340601446,0.0001599999999999994,0.0005334439989352216,0.02580854340601446,0.05049338045546621,0.030293837226850386,False
